label,text
C04,"CA72-4: a new tumour marker for gastric cancer.
 To date, tumour markers for gastric cancer have proved unreliable.
 In this study the value of a new serum marker, CA72-4, was compared with the serum activities of carcinoembryonic antigen (CEA) and CA19-9 in a consecutive series of patients with gastric cancer.
 The results show that the CA72-4 assay is significantly better at separating stage I and II disease from normal controls (P less than 0.01) than CEA (n.s.) or CA19-9 (n.s.).
 CA72-4 also gave better differentiation between patients with positive and negative nodes (P less than 0.01) and between those who were serosa positive and negative (P less than 0.01).
 CEA differentiated between patients with positive and negative nodes (P less than 0.05) but CA19-9 could not.
 CA19-9 and CEA could not discriminate between patients who were serosa positive and negative.
 In this study, at a specificity of 95 per cent, the sensitivities of CEA, CA19-9 and CA72-4 were 0.25, 0.41 and 0.94 respectively.
 These preliminary findings indicate that CA72-4 is a reliable tumour marker of disease stage and activity in gastric cancer.
 Further longitudinal studies are required for full evaluation of its clinical utility."
C04,"Failure of nutritional recovery after total gastrectomy.
 Malnutrition is reported to be an inevitable consequence of total gastrectomy, although there are few data to support this contention.
 Six patients of median age 63 years underwent total gastrectomy for malignancy.
 At follow-up (median 45 months, range 25-60 months) each patient was clinically tumour-free and underwent dietary assessment, faecal fat and nitrogen measurement and routine haematological testing.
 Protein and fat stores, measured by neutron activation analysis and the tritiated water dilution technique, were compared with the same measurements made before operation and with predicted values.
 Mean (s.d.) dietary intake (2224(381) kcal day-1 and 81(15)g protein day-1) met the patients' estimated requirements.
 Mean(s.d.) serum albumin and faecal nitrogen values were normal but there was notable steatorrhoea (21(17) g day-1).
 Body composition measurements revealed profound deficiencies of body-weight (P less than 0.02), protein (P less than 0.01) and fat (P less than 0.02) before operation which were not corrected by an apparently curative total gastrectomy (P less than 0.05), although further deterioration was prevented."
C04,"Treatment of adenocarcinoma of the cardia with synchronous chemotherapy and radiotherapy.
 Twenty-nine evaluable patients with adenocarcinoma of the cardia were treated with synchronously administered chemotherapy (two cycles of 5-fluouracil and cisplatin and 30-36 Gy of radiation to determine whether these tumours are responsive to such treatment.
 Complete regression of tumour was observed endoscopically in 19 patients, and partial regression in four.
 Fourteen patients had their tumours resected and in six no microscopic tumour was found in the specimen.
 Nine patients received additional radiotherapy to a total dose of 54-60 Gy instead of surgery.
 Tumour response was associated with rapid reversal of dysphagia.
 Only one patient required subsequent intervention for relief of dysphagia due to fibrous stricture.
 Enhanced survival was associated with a complete endoscopic response to initial chemotherapy and radiotherapy, and a tumour of less than 5 cm in length.
 The median survival of responding patients was 15 months.
 Synchronous chemotherapy and radiotherapy was of major palliative benefit in this series and merits further evaluation."
C04,"Manometric evaluation of jejunal limb after total gastrectomy and Roux-Orr anastomosis for gastric cancer.
 Total gastrectomy with Roux-Orr anastomosis is frequently performed for gastric cancer.
 Since intestinal motility of the Roux limb has never been evaluated after this operation, pressure activity was investigated in the Roux limb of ten patients (aged 51-77 years) who had undergone total gastrectomy and Roux-Orr reconstruction.
 Investigations were carried out during a 6-h fast and 3 h after a 605 kcal mixed meal.
 During fasting only two patients had activity fronts and these were abnormal.
 All ten patients displayed non-propagating bursts of contractions and three had discrete clustered contractions and high amplitude jejunal contractions.
 The fed state was characterized by a severely reduced motor activity pattern and other abnormalities.
 Total gastrectomy with Roux-Orr anastomoses provokes a relatively severe disturbance in intestinal activity."
C04,"Primary hepatic malignancy: the role of liver transplantation.
 Between January 1982 and April 1989, 134 patients with a suspected liver neoplasm were referred to the liver unit, Queen Elizabeth Hospital, Birmingham.
 In 105 (78 per cent), a primary hepatic neoplasm was histologically confirmed, and 47 patients (45 per cent) proved to have primary hepatocellular carcinoma.
 Twenty-nine orthotopic liver transplants were performed in 28 of these patients (27 per cent).
 Twenty patients (71 per cent) survived 30 days or longer (median 11.5 months; range 2-87 months), of whom nine are currently alive.
 We retrospectively analysed our data to determine the influence of preoperative evaluation, histological type and staging on outcome.
 Computed tomography proved to be superior to intraoperative assessment (86 versus 58 per cent) in diagnosing tumour positive nodes.
 Patients with tumour negative lymphadenopathy had a better prognosis.
 Postoperative stage I/II had a median survival of 16 months (range 3-87 months) compared with 7.5 months (range 2-20 months) for stage III.
 Non-cirrhotic patients with hepatocellular carcinoma had the best prognosis; cholangiocellular carcinoma and cirrhotic patients with hepatocelluar carcinoma had the worst outcome with no survivors beyond 1 year.
 Because of the advanced stage of disease at the time of presentation, the value of liver transplantation in primary liver cancer is limited.
 For those presenting with advanced disease confined to the liver (stage I/II) in whom conventional hepatic resection is not possible, significant benefit can be achieved in selected cases."
C04,"Intraoperative ultrasonography and the detection of liver metastases in patients with colorectal cancer.
 A total of 213 patients with carcinoma of the colon and rectum were examined to detect liver metastases.
 The study compared preoperative ultrasonography and inspection and palpation of the liver during surgery with intraoperative ultrasonography.
 Preoperative ultrasonography, inspection and palpation identified 238 metastases in 42 patients.
 Intraoperative ultrasonography detected 116 previously unrecognized metastatic tumours during 40 surgical procedures (P less than 0.01).
 High resolution intraoperative ultrasonography is safe and more accurate than preoperative imaging and surgical exploratory methods.
 The examination is simple to perform and success appears to be related to careful attention to detail."
C04,"The effect of the gastrin receptor antagonist proglumide on survival in gastric carcinoma.
 Gastric cancer remains a disease with a very poor prognosis, and there is no safe and effective form of therapy for advanced disease.
 Evidence is now abundant to show that gastrin stimulates the growth of both gastric and colorectal cancer cells in vitro and in vivo, and that blockade of gastrin receptors can prolong survival in xenografted nude mice.
 We have thus performed a randomized, controlled study of the gastrin/cholecystokinin receptor antagonist proglumide as therapy in 110 patients with gastric carcinoma.
 Proglumide had no overall effect on survival (Mantel-Cox statistic = 0.5, P = 0.48).
 The 95% confidence interval for the proglumide treated group was 260 to 474 days compared to 230 to 372 days for the control group.
 No significant difference was seen with proglumide, which has a relatively low affinity with the gastrin receptor and also has partial agonist activity.
 Drugs that are far more specific and potent gastrin receptor antagonists are becoming available, which may have a greater effect on survival, and further clinical trials of such compounds are clearly indicated to determine the efficacy of hormonal control of gastrointestinal malignancy."
C04,"Induction chemotherapy with a new regimen alternating cisplatin, fluorouracil with mitomycin, hydroxyurea and bleomycin in carcinomas of nasopharynx or other sites of the head and neck region.
 Sixty-six patients with locally advanced (Stages III and IV) carcinoma of the head and neck were treated with three cycles of induction chemotherapy, consisting of cisplatin, fluorouracil (FU) infusion, bleomycin, mitomycin, and hydroxyurea, followed by radiotherapy and/or surgery.
 There were 48 men and 18 women with a median age of 55 years (range, 18 to 75 years) and Karnofsky performance status of 80 (range, 40 to 90).
 Primary site was nasopharynx (28 patients), followed by larynx (12) and others (26).
 Forty-one (62%) patients were presented with Stage IV disease.
 The response rate to induction chemotherapy was 27% complete response, 50% partial response, 20% stable disease, and 3% progressive disease.
 There was no significant difference in response rate between patients with cancer of nasopharynx or other sites (P greater than 0.1).
 Survival was 61% at 24 months.
 Patients with cancer of nasopharynx had a better survival than those with other primaries (P = 0.033).
 Toxicities from chemotherapy included alopecia (73%), nausea/vomiting (66%), leukopenia (54%), stomatitis (36%), anemia (32%), thrombocytopenia (16%), and diarrhea (9%).
 Grade IV toxicity was not observed.
 Induction chemotherapy with this new regimen resulted in a high response rate but may not be superior to cisplatin and FU alone.
 It can be safely combined with radiotherapy as a potentially curative therapy in squamous cell carcinoma of the head and neck.
 Chemotherapy followed by radiation therapy may yield survival similar to radical surgery in laryngeal and other head and neck cancers."
C04,"Treatment of patients with isolated axillary nodal metastases from an occult primary carcinoma consistent with breast origin.
 The records of 42 patients who had axillary metastases compatible with a clinically occult breast primary were reviewed.
 Forty patients had mammography performed as part of their evaluations.
 Mastectomy yielded the primary tumor in one of 13 patients; biopsy yielded positive results in one of five.
 Among the 29 patients who did not undergo mastectomy, 16 received breast irradiation, and 13 were simply observed for signs of the primary tumor.
 For the patients who did not undergo mastectomy, the 5-year actuarial risk for appearance of a primary was 17% in the irradiated group versus 57% in the nonirradiated group (P = 0.06).
 Patterns of failure are correlated with stage and local and systemic therapy.
 The results affirm our belief that patients with axillary metastases histologically consistent with breast tumor should be treated identically to patients with similar nodal stages and proven breast primaries."
C04,"Cancer chemotherapy after solid organ transplantation.
 To assess how well chemotherapy is tolerated after solid organ transplantation, we reviewed our experience at the Children's Hospital of Pittsburgh with five patients aged 1 to 12 years.
 Four patients had a liver transplant, indications for which were hepatoblastoma in two patients, hepatic failure secondary to Wilms' tumor chemoradiotherapy in one patient, and familial intrahepatic cholestasis in one patient.
 A fifth patient received a cardiac transplant for unresectable angiosarcoma of the right atrium.
 After transplant, chemotherapy was given for the treatment of the primary malignancy in four of the patients.
 The patient with familial intrahepatic cholestasis received chemotherapy for secondary lymphoproliferative disease that had not responded to the cessation of immunosuppression.
 All patients other than this patient were on immunosuppression with prednisone (0.5 to 2 mg/kg daily) and cyclosporine (to maintain serum levels at 800 to 1000 ng/ml radioimmunoassay) throughout the duration of chemotherapy.
 Courses of chemotherapy included one or more of the following agents: Adriamycin (Adr, 20 mg/m2 daily, three patients), Cyclophosphamide (Ctx, 1 gm/m2, one patient), cisplatin (CDDP, 90 mg/m2, one patient), Vincristine (Vcr, greater than 0.75 to 1.5 mg/m2, three patients), Actinomycin D (Act-D, 7.5 micrograms/kg, one patient), Ifosfamide (I, 1800 mg/m2, one patient) and Etoposide (VP-16, 100 mg/m2, one patient).
 All patients received greater than or equal to 3 courses (range, 3 to 9; mean, 5) of chemotherapy every 3 to 4 weeks.
 Dose reductions were made because of neutropenia in three patients but none were greater than 50%.
 Severe rejection was seen in one patient who had, however, manifested evidence of rejection prior to his first postoperative course of chemotherapy.
 No nephro or cardiac toxicity was seen.
 This preliminary experience suggests that chemotherapy is well tolerated after solid organ transplantation."
C04,"Autopsy-documented cure of multiple myeloma 14 years after M2 chemotherapy.
 Multiple myeloma was diagnosed in a 65-year-old woman in 1974 who thereafter received five-drug M2 chemotherapy.
 All protein abnormalities subsequently returned to normal and serial bone marrow studies documented complete bone marrow remission.
 Destructive bone lesions persisted radiographically, but did not progress.
 In 1987, a localized sigmoid adenocarcinoma was resected.
 In 1988, the patient presented with multiple brain metastases associated with a primary pulmonary adenocarcinoma that proved rapidly fatal.
 At autopsy, no evidence of multiple myeloma was found.
 This report describes the first tissue-documented cure of multiple myeloma 14 years after diagnosis and initiation of M2 chemotherapy.
 The possible association of multiple myeloma with other malignancies is also discussed."
C04,"Pulmonary metastases from ameloblastoma of the mandible treated with cisplatin, adriamycin, and cyclophosphamide.
 A case of delayed pulmonary metastases from an ameloblastoma of the mandible, which occurred 20 years after surgical resection of the primary tumor but with no recurrence at the primary site, is reported.
 Combination chemotherapy using cisplatin, adriamycin, and cyclophosphamide has produced a very good clinical and radiologically documented response in this case."
C04,"Prospective evaluation of radiologically directed fine-needle aspiration biopsy of nonpalpable breast lesions.
 The application of fine-needle aspiration biopsy (FNAB) to the diagnosis of nonpalpable breast lesions was evaluated with a new method which uses standard needle localization under mammographic guidance to assure accurate sampling by FNAB.
 This method was prospectively applied to 100 mammographically detected breast lesions in 100 women (mean age, 53 years).
 All 100 patients underwent surgical excision of these nonpalpable lesions after cytologic aspiration.
 Sufficient aspirated material was obtained for cytologic diagnosis from 91 patients (91%).
 The histologic and cytologic interpretations were then compared.
 Twenty malignancies were ultimately diagnosed by histology (12 invasive ductal carcinoma, six ductal carcinoma in situ, and two lobular carcinoma in situ), of which 17 had been cytologically diagnosed.
 There were no false-positive diagnoses of malignancy by FNAB.
 False-negative readings (3.3%) included two cases of lobular carcinoma in situ and one case of ductal carcinoma in situ.
 This technique thus demonstrated a sensitivity of 85%, specificity of 100%, and overall diagnostic accuracy of 96.7% for the nonsurgical detection of malignancy in nonpalpable breast lesions.
 These results suggest that the established safety, reliability, and cost-effectiveness of FNAB can be maintained in this clinical setting.
 This procedure may obviate the need for open surgical biopsy in those patients with an unequivocal diagnosis of malignancy.
 It can also be done using standard techniques and equipment available in many community hospitals."
C04,"Sacral plexus injury after radiotherapy for carcinoma of cervix.
 A 42-year-old woman developed lower extremity weakness and sensory loss 1 year after external and intracavitary radiotherapy for Stage IB carcinoma of cervix.
 She has been followed for 5 years posttreatment, and the neurologic abnormalities have persisted, but no evidence of recurrent carcinoma has been found.
 We believe this to be a rare case of sacral plexus radiculopathy developing as a late complication after radiotherapy.
 Suggestions are made for improving the radiotherapy technique to prevent this complication in future cases."
C04,"Relationship of 4F2 antigen with local growth and metastatic potential of squamous cell carcinoma of the larynx.
 The 4F2 antigen is a cell-membrane glycoprotein which arises early in the G0-G1 phases of the cell cycle.
 This molecule is present in all established human cell lines and most malignant human cells.
 The authors used an indirect immunophosphatase method to study 50 squamous cell carcinomas of the larynx and ten lymph-node metastases, corresponding to six primary tumors, for 4F2 expression.
 The tumors showed several patterns of 4F2 staining which were correlated with different behaviors and prognoses of the neoplasms.
 Three different patterns (no staining, peripheral staining, and diffuse 4F2 expression) are described as are their relationships with metastatic behavior of the carcinomas.
 Tumors with metastases were found only in the third group (P = 0.0001).
 These results led to the following conclusions: (1) the 4F2 antigen is present in squamous cell carcinomas; (2) its distribution reflects the tumor-spreading pattern; and (3) it correlates with differentiation and metastatic behavior."
C04,"Tumor-antigen 4. Its immunohistochemical distribution and tissue and serum concentrations in squamous cell carcinoma of the lung and esophagus.
 The immunohistochemical distribution and concentrations of tumor-antigen 4 (TA-4) in tissues and serum were determined in patients with benign and malignant diseases, including 27 patients with squamous cell carcinoma (SCC; 15 in the lung and 12 in the esophagus).
 Tumor-antigen 4 immunoreactivity was present in the cytoplasm of many SCC tissues, especially in the hyperparakeratotic region, and in the cytoplasm of differentiated squamous cells of the intermediate layer of normal epithelia of various organs, but not in those of other types of lung cancers or benign pulmonary diseases.
 Consistent with the results of immunostaining, the TA-4 concentrations in SCC tissues of the lung, esophagus, and normal squamous epithelia were much higher than in those of lung cancer other than SCC, benign pulmonary diseases, normal lung, and submandibular gland tissues.
 The TA-4 concentration in SCC tissue tended to increase with increasing grades of differentiation.
 Serum TA-4 was elevated in 15 of 27 patients with SCC but in no patients with other types of lung cancer or benign diseases.
 These results indicate that TA-4 is an antigen related to the differentiation of squamous cells and that tumor cells of SCC can release a large amount of TA-4 into circulation whereas normal squamous epithelia cannot."
C04,"Myocarditis or acute myocardial infarction associated with interleukin-2 therapy for cancer.
 The hearts of eight patients aged 22 to 67 years (mean, 41 years) who died during or within 4 days of interleukin-2 (IL-2) based immunotherapy for treatment of renal cell carcinoma or melanoma were studied at necropsy.
 Death resulted from combined cardiorespiratory failure in two patients, sepsis in four patients, acute myocardial infarction in one patient, and myocarditis in one patient.
 Transmural left ventricular necrosis was present in one of the two patients with significant atherosclerotic coronary artery narrowing.
 Noninfectious myocarditis was present in five patients: the inflammatory infiltrate was lymphocytic in four and composed of a mixture of eosinophils and lymphocytes in one.
 Although treatment-related deaths associated with high-dose IL-2 therapy are uncommon (1.5% in 652 consecutive patients), the potential for significant myocardial ischemia or myocarditis exists, and careful monitoring for arrhythmias or myocardial failure is warranted."
C04,"Postoperative active specific immunization in colorectal cancer patients with virus-modified autologous tumor-cell vaccine. First clinical results with tumor-cell vaccines modified with live but avirulent Newcastle disease virus [published erratum appears in Cancer 1991 Apr 15;67(8):2124]
 Sixteen patients with colorectal carcinoma Dukes' Stage B2, C, or D were treated with an autologous virus-modified tumor-cell vaccine after potential curative tumor resection (R0-Resection).
 An inoculum of 1 X 10(7) cells incubated with 32 hemagglutination units of nonirradiated Newcastle disease virus (NDV) was given intracutaneously up to four times at 10-day intervals.
 The delayed-type hypersensitivity (DTH) skin reaction was measured.
 The vaccination was well tolerated.
 In 11 of 16 patients an increasing reactivity against the vaccine was observed during the vaccination procedure.
 A challenge test using autologous tumor cells without NDV after the vaccination cycle revealed a specific antitumor sensibilization in 12 patients.
 The DTH response was not due to bacterial contamination or sensibility to the virus.
 Histologic examination of the vaccination site showed a dense infiltration of predominantly helper T-lymphocytes.
 We conclude that in most of the patients treated active, specific immunization led to a specific antitumor sensitivity."
C04,"Acute T-cell leukemia/lymphoma mimicking Hodgkin's disease with secondary HTLV I seroconversion.
 The authors observed a pleiomorphic lymphoma mimicking Hodgkin's lymphoma in a French Guyana black woman lacking antibodies for human T-cell lymphoma/leukemia virus type I (HTLV I).
 After two courses of chemotherapy with either mechlorethamine, vincristine, procarbazine, and prednisone (MOPP) or doxorubicin, bleomycin, vincaleukoblastine, and dacarbazine (ABVD), a typical acute T-cell leukemia/lymphoma developed with HTLV I seroconversion.
 Specific HTLV I DNA sequences were detected using the polymerase chain reaction (PCR) on a lymph node biopsy obtained before chemotherapy.
 The mechanisms of the seroconversion are discussed."
C04,"Immunohistochemical studies on the main entrance-route of CA19-9 into the peripheral venous blood of gastric cancer patients. Correlation with CA19-9 levels in peripheral and portal blood.
 The correlation between CA19-9 levels of portal and peripheral venous blood, and immunohistochemical variables of cancer lesions was examined in 53 gastric cancer patients and eight patients with benign diseases.
 Immunohistochemically, CA19-9 was found in 33 (62.5%) of 53 primary lesions.
 The antigen was found in the cancer cells of invasive lymphatics and node metastases of every CA19-9 localized cancer, although the cancer cells in veins showed little or no CA19-9.
 There was little or no antigen in the cancer cells in veins, lymphatics, or metastases of 20 CA19-9 nonlocalized primary lesions.
 Patients with CA19-9 nonlocalized cancer or with benign diseases showed no elevation of the antigen levels in peripheral or portal blood.
 CA19-9 levels of portal blood (mean, 76.4 U/ml; positive rate, 33.3%) were not different from those of peripheral blood (mean, 91.5 U/ml; positive rate, 33.3%).
 Additionally, the antigen levels of the blood in patients with lymphatic invasion or node metastases were significantly higher than those in patients without the invasion or the metastases, and every patient without the invasion showed no elevation of the antigen.
 These results suggest that production of the antigen in cancer cells may be a premise of CA19-9 elevation in peripheral blood and that CA19-9 may be drained by the thoracic duct of the lymphatic system via node metastases or invasive lymphatics, but not by the hematogenous portal system."
